"tract","Name","Employment_Rate_rP_gP_pall"
17031720100,"Beverly, Chicago, IL",0.81
17031030800,"Edgewater, Chicago, IL",0.8099
17031243100,"West Town, Chicago, IL",0.8098
17031720400,"South Side, Chicago, IL",0.8097
17031822500,"Oak Lawn, IL",0.8096
17031050200,"North Center, Chicago, IL",0.8096
17031810400,"Park Ridge, IL",0.8095
17031815300,"Chicago, IL",0.8095
17031821600,"Evergreen Park, IL",0.8095
17031620200,"South Side, Chicago, IL",0.8094
17031071200,"Lincoln Park, Chicago, IL",0.8094
17031806201,"Des Plaines, IL",0.8091
17031819600,"La Grange, IL",0.8091
17043845100,"Clarendon Hills, IL",0.8091
17031170700,"Belmont Heights, Chicago, IL",0.809
17031806003,"Des Plaines, IL",0.8088
17031826303,"Dolton, IL",0.8087
17031839800,"Bridgeport, Chicago, IL",0.8083
17043845505,"Darien, IL",0.808
17031818000,"Broadview, IL",0.8079
17031841100,"Armour Square, Chicago, IL",0.8078
17043844601,"Oak Brook, IL",0.8073
17031190701,"Belmont Cragin, Chicago, IL",0.8073
17031062400,"Lake View, Chicago, IL",0.8069
17031816200,"Melrose Park, IL",0.8069
17031822101,"Oak Lawn, IL",0.8068
17031340400,"Armour Square, Chicago, IL",0.8066
17031816300,"Melrose Park, IL",0.8066
17031822701,"Oak Lawn, IL",0.8065
17031570200,"Archer Heights, Chicago, IL",0.8065
17031840000,"Bridgeport, Chicago, IL",0.8063
17043845602,"Downers Grove, IL",0.8061
17031826402,"Dolton, IL",0.8059
17031824116,"Orland Park, IL",0.8058
17031110501,"Jefferson Park, Chicago, IL",0.8057
17031740100,"South Side, Chicago, IL",0.8054
17043845901,"Burr Ridge, IL",0.8052
17031241200,"West Town, Chicago, IL",0.8051
17043845300,"Hinsdale, IL",0.8051
17031600600,"Bridgeport, Chicago, IL",0.8051
17031807800,"Skokie, IL",0.8043
17031813900,"Cicero, IL",0.8042
17043845811,"Willowbrook, IL",0.8042
17031520300,"East Side, Chicago, IL",0.8042
17031823805,"Palos Hills, IL",0.804
17031808301,"Morton Grove, IL",0.804
17031826304,"Dolton, IL",0.804
17031170900,"Belmont Heights, Chicago, IL",0.8036
17031760802,"O'Hare, Chicago, IL",0.8035
17043843302,"Lombard, IL",0.8035
17031150600,"Portage Park, Chicago, IL",0.8034
17197881006,"Orland Park, IL",0.8034
17031816500,"Stone Park, IL",0.8033
17031823901,"Palos Park, IL",0.8033
17043845809,"Downers Grove, IL",0.8032
17043846604,"Addison, IL",0.8031
17043845402,"Hinsdale, IL",0.8029
17031250500,"Austin, Chicago, IL",0.8028
17031060400,"Lake View, Chicago, IL",0.8027
17031283100,"University Village / Little Italy, Chicago, IL",0.8023
17031822801,"Oak Lawn, IL",0.8022
17031823303,"Chicago, IL",0.8021
17031819400,"Brookfield, IL",0.802
17031816100,"Forest Park, IL",0.8019
17031822200,"Oak Lawn, IL",0.8015
17031650301,"South Side, Chicago, IL",0.8015
17031811500,"Franklin Park, IL",0.8014
17031410200,"Hyde Park, Chicago, IL",0.8012
17031820901,"Burbank, IL",0.801
17031807900,"Lincolnwood, IL",0.8009
17031720500,"South Side, Chicago, IL",0.8006
17031825000,"Oak Forest, IL",0.7994
17031120300,"Forest Glen, Chicago, IL",0.7993
17031818500,"Westchester, IL",0.7991
17031805111,"Des Plaines, IL",0.7989
