"tract","Name","Employment_Rate_rP_gP_p75"
24033800403,"Bowie, MD",0.8249
24033800208,"Laurel, MD",0.8248
24003731303,"Pasadena, MD",0.8245
24003702206,"Crofton, MD",0.8245
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.8243
24027604002,"Glenwood, MD",0.8242
24013505205,"Eldersburg, MD",0.8242
24005411201,"Baldwin, MD",0.8241
24005403402,"Pikesville, MD",0.8237
24003740602,"Fort Meade, MD",0.8234
24025302400,"Aberdeen, MD",0.8234
24025306500,"Aberdeen Proving Ground, MD",0.8234
24031701407,"Silver Spring, MD",0.8234
24005408303,"Reisterstown, MD",0.8232
24013507801,"Westminster, MD",0.8232
24510270301,"Lauraville, Baltimore, MD",0.8231
24025303801,"Bel Air, MD",0.8229
24025303603,"Bel Air, MD",0.8228
24005404800,"Reisterstown, MD",0.8228
24003730604,"Severna Park, MD",0.8226
24003730700,"Severna Park, MD",0.8225
24025303101,"Bel Air, MD",0.8225
24031701508,"Silver Spring, MD",0.8224
24025303606,"Bel Air, MD",0.8221
24033807000,"College Park, MD",0.8221
24027602100,"Ellicott City, MD",0.822
24005492001,"Parkville, MD",0.8219
24005403802,"Pikesville, MD",0.8216
24027603003,"West Friendship, MD",0.8213
24510260605,"Medford - Broening, Baltimore, MD",0.8211
24027605402,"Columbia, MD",0.8208
24027604001,"Woodbine, MD",0.8207
24005451100,"Essex, MD",0.8204
24003730601,"Millersville, MD",0.8203
24005402503,"Randallstown, MD",0.8202
24033800105,"Laurel, MD",0.8202
24005452400,"Dundalk, MD",0.8201
24029950200,"Worton, MD",0.82
24005411410,"Parkville, MD",0.8198
24510080302,"Berea, Baltimore, MD",0.8198
24005401301,"Woodlawn, MD",0.8197
24005410200,"Phoenix, MD",0.8195
24005450300,"Essex, MD",0.8195
24005402604,"Randallstown, MD",0.8194
24510100100,"Johnson Square, Baltimore, MD",0.8194
24003730901,"Annapolis, MD",0.8194
24025302200,"Aberdeen, MD",0.8191
24031701414,"Silver Spring, MD",0.819
24003730800,"Arnold, MD",0.8185
24005451900,"Edgemere, MD",0.8185
24510200701,"Allendale, Baltimore, MD",0.8181
24013504201,"Finksburg, MD",0.818
24005403300,"Lochearn, Pikesville, MD",0.8179
24031702000,"New Hampshire Estates, Silver Spring, MD",0.8178
24005401504,"Catonsville, MD",0.8177
24027605104,"Clarksville, MD",0.8176
24027606601,"Oakland Mills, Columbia, MD",0.8175
24005492102,"Parkville, MD",0.8173
24035810800,"Stevensville, MD",0.8172
24025301202,"Bel Air, MD",0.817
24510080102,"Belair - Edison, Baltimore, MD",0.8168
24033800411,"Glenn Dale, MD",0.8167
24025303802,"Bel Air, MD",0.8166
24510280401,"Baltimore, MD",0.8164
24003730300,"Glen Burnie, MD",0.8162
24003702208,"Crofton, MD",0.8162
24003740603,"Fort Meade, MD",0.8162
24025301702,"Belcamp, MD",0.8162
24005402404,"Gwynn Oak, Lochearn, MD",0.8161
24025301205,"Abingdon, MD",0.816
24025302801,"Aberdeen, MD",0.8159
24005408503,"Cockeysville, MD",0.8156
24005451701,"Middle River, MD",0.8156
24003740900,"Odenton, MD",0.8156
24027602900,"Normandy, Ellicott City, MD",0.8155
24025301201,"Harford County, MD",0.8154
24510070100,"Baltimore, MD",0.8154
24003730603,"Millersville, MD",0.8152
24005420402,"Dundalk, MD",0.8152
24033807404,"Beltsville, MD",0.8152
24027605504,"Clarksville, MD",0.8149
24510270903,"Hillen, Baltimore, MD",0.8146
24005420701,"Dundalk, MD",0.8145
24510270703,"North Harford Road, Baltimore, MD",0.8145
24025301102,"Bel Air, MD",0.8143
24005450200,"Essex, MD",0.8141
24005420301,"Dundalk, MD",0.8139
24003702402,"Annapolis, MD",0.8138
24005440800,"Rosedale, MD",0.8136
24005402505,"Randallstown, MD",0.8135
