"tract","Name","Employment_Rate_rP_gP_p50"
17043843100,"Villa Park, IL",0.8021
17031821102,"Oak Lawn, IL",0.8021
18089030900,"East Chicago, IN",0.802
17031160601,"Irving Park, Chicago, IL",0.8019
17031340500,"Armour Square, Chicago, IL",0.8018
17031811800,"Northlake, IL",0.8017
18089031000,"East Chicago, IN",0.8016
17031200402,"Hermosa, Chicago, IL",0.8015
17031420100,"South Side, Chicago, IL",0.8015
17031220500,"Logan Square, Chicago, IL",0.8014
17043845510,"Westmont, IL",0.8014
17031480400,"Calumet Heights, Chicago, IL",0.8013
17031831700,"Old Irving Park, Chicago, IL",0.8012
17031821402,"Calumet Park, IL",0.801
17031561000,"South Side, Chicago, IL",0.801
17031251700,"Austin, Chicago, IL",0.8009
17031818800,"Brookfield, IL",0.8008
18089020300,"Hammond, IN",0.8007
17031420500,"South Side, Chicago, IL",0.8004
17031283100,"University Village / Little Italy, Chicago, IL",0.8004
17031825900,"Calumet City, IL",0.8003
17031813200,"Oak Park, IL",0.8002
17031350100,"Bronzeville, Chicago, IL",0.8
17031817200,"Maywood, IL",0.7999
17031805802,"Park Ridge, IL",0.7998
17031826800,"Dixmoor, IL",0.7995
17031200100,"Belmont Gardens, Chicago, IL",0.7993
17031823302,"Chicago, IL",0.7993
17031720600,"South Side, Chicago, IL",0.7991
17031822802,"Oak Lawn, IL",0.7989
17031611100,"Back of the Yards, Chicago, IL",0.7989
17031817600,"Maywood, IL",0.7989
17031808200,"Niles, IL",0.7988
17031671600,"Englewood, Chicago, IL",0.7987
17031421200,"Park Manor, Chicago, IL",0.7985
17031620300,"South Side, Chicago, IL",0.7984
17031010100,"Rogers Park, Chicago, IL",0.7983
17031070700,"Lincoln Park, Chicago, IL",0.7982
17043844301,"Lombard, IL",0.7982
17031823001,"Chicago Ridge, IL",0.7981
17031835100,"Gage Park, Chicago, IL",0.798
17031840800,"Little Village, Chicago, IL",0.798
17031210602,"Avondale, Chicago, IL",0.798
17031700302,"Ashburn, Chicago, IL",0.7979
17031560100,"South Side, Chicago, IL",0.7979
17031050500,"North Center, Chicago, IL",0.7979
17031580501,"South Side, Chicago, IL",0.7978
17043844201,"Lombard, IL",0.7978
17031561100,"South Side, Chicago, IL",0.7978
17031711000,"Auburn Gresham, Chicago, IL",0.7978
17031830600,"Rogers Park, Chicago, IL",0.7977
17031700501,"South Side, Chicago, IL",0.7977
17031191200,"Belmont Cragin, Chicago, IL",0.7977
17031811500,"Franklin Park, IL",0.7976
17031824113,"Orland Park, IL",0.7974
17031242000,"Noble Square, Chicago, IL",0.7973
17031750400,"Kennedy Park, Chicago, IL",0.7972
17031770601,"Des Plaines, IL",0.7972
17031420400,"South Side, Chicago, IL",0.7971
17031814000,"Cicero, IL",0.7971
17031840200,"Bridgeport, Chicago, IL",0.797
17031580400,"Brighton Park, Chicago, IL",0.7967
17031283200,"University Village / Little Italy, Chicago, IL",0.7967
17043840104,"Addison, IL",0.7967
17031822500,"Oak Lawn, IL",0.7966
17031220602,"Logan Square, Chicago, IL",0.7966
17031826401,"Dolton, IL",0.7966
17031400800,"South Side, Chicago, IL",0.7965
17031821600,"Evergreen Park, IL",0.7964
17031832100,"Lake View, Chicago, IL",0.7963
17031440102,"East Chatham, Chicago, IL",0.7963
17031510200,"South Side, Chicago, IL",0.7963
17031241000,"Humboldt Park, Chicago, IL",0.7962
17031817101,"Bellwood, IL",0.796
17031580800,"Brighton Park, Chicago, IL",0.7959
17031812801,"Oak Park, IL",0.7958
17043844002,"Elmhurst, IL",0.7958
17031390400,"Kenwood, Chicago, IL",0.7953
17031650302,"South Side, Chicago, IL",0.7952
17031292200,"Lawndale, Chicago, IL",0.7951
17031140302,"Albany Park, Chicago, IL",0.7951
17031827000,"Harvey, IL",0.7951
17031670400,"Englewood, Chicago, IL",0.7949
17031842100,"Humboldt Park, Chicago, IL",0.7948
17031831800,"North Park, Chicago, IL",0.7948
17031100300,"Norwood Park, Chicago, IL",0.7946
17031730100,"South Side, Chicago, IL",0.7945
17031530300,"South Side, Chicago, IL",0.7945
17031842600,"South Side, Chicago, IL",0.7945
17043843900,"Elmhurst, IL",0.7944
17031815500,"Berwyn, IL",0.7944
17031822400,"Oak Lawn, IL",0.7944
17031040100,"Lincoln Square, Chicago, IL",0.7943
17031814200,"Cicero, IL",0.7943
17031660302,"Chicago Lawn, Chicago, IL",0.7943
17043840303,"Addison, IL",0.7941
17031822701,"Oak Lawn, IL",0.7941
17031821002,"Burbank, IL",0.7941
17031815800,"Hollywood, Brookfield, IL",0.794
17031160400,"Irving Park, Chicago, IL",0.7939
17031813100,"Oak Park, IL",0.7937
17031061901,"Lake View East, Chicago, IL",0.7937
17031620100,"South Side, Chicago, IL",0.7936
17031301600,"Little Village, Chicago, IL",0.7936
17031691400,"South Side, Chicago, IL",0.7935
17031062000,"Boystown, Chicago, IL",0.7935
17031241200,"West Town, Chicago, IL",0.7933
17031681000,"Englewood, Chicago, IL",0.7933
17031811600,"Schiller Park, IL",0.7932
17031221600,"Bucktown, Chicago, IL",0.7931
