"tract","Name","Employment_Rate_rP_gP_p75"
17031813900,"Cicero, IL",0.8571
17031843200,"Heart of Chicago, Chicago, IL",0.8571
17031230700,"Humboldt Park, Chicago, IL",0.8571
17031252102,"Austin, Chicago, IL",0.8567
17031820901,"Burbank, IL",0.8567
17031251100,"Austin, Chicago, IL",0.8565
17031823102,"Worth, IL",0.8565
17031120100,"Forest Glen, Chicago, IL",0.8565
17031660302,"Chicago Lawn, Chicago, IL",0.8564
17031061901,"Lake View East, Chicago, IL",0.8561
17031480300,"South Side, Chicago, IL",0.856
17031610300,"Back of the Yards, Chicago, IL",0.856
17031710300,"Auburn Gresham, Chicago, IL",0.856
17031170500,"Dunning, Chicago, IL",0.856
17031805702,"Park Ridge, IL",0.8558
17031821101,"Burbank, IL",0.8555
17031200100,"Belmont Gardens, Chicago, IL",0.8554
17031841600,"Lawndale, Chicago, IL",0.8552
17043840000,"Bensenville, IL",0.8551
17031421200,"Park Manor, Chicago, IL",0.8551
17031823604,"Palos Heights, IL",0.855
17031711400,"South Side, Chicago, IL",0.8549
17043843601,"Lombard, IL",0.8548
17031260400,"Garfield Park, Chicago, IL",0.8548
17031010701,"Rogers Park, Chicago, IL",0.8547
17031770300,"Elk Grove Village, IL",0.8547
17043843400,"Lombard, IL",0.8547
17031240500,"West Town, Chicago, IL",0.8546
17031190100,"Belmont Cragin, Chicago, IL",0.8542
17043840104,"Addison, IL",0.8539
17031301600,"Little Village, Chicago, IL",0.8537
17031823903,"Palos Park, IL",0.8535
17031340400,"Armour Square, Chicago, IL",0.8534
17043840304,"Addison, IL",0.8534
17043844501,"Villa Park, IL",0.8534
17031839700,"Bridgeport, Chicago, IL",0.8532
17031570300,"Archer Heights, Chicago, IL",0.853
17031630300,"Gage Park, Chicago, IL",0.853
17031843100,"Lawndale, Chicago, IL",0.8529
17031810502,"Norridge, IL",0.8528
17031170800,"Belmont Heights, Chicago, IL",0.8527
17031823303,"Chicago, IL",0.8526
17031222700,"Logan Square, Chicago, IL",0.8526
17031611100,"Back of the Yards, Chicago, IL",0.8526
17031823702,"Palos Hills, IL",0.8525
17031840000,"Bridgeport, Chicago, IL",0.8525
17031815400,"Berwyn, IL",0.8523
17031805501,"Park Ridge, IL",0.8521
17031760803,"O'Hare, Chicago, IL",0.852
17031460600,"South Chicago, Chicago, IL",0.852
17031061000,"Lake View, Chicago, IL",0.8519
17031831800,"North Park, Chicago, IL",0.8519
17043840202,"Addison, IL",0.8517
17031807500,"Skokie, IL",0.8516
17031160502,"Irving Park, Chicago, IL",0.8515
17031071700,"Lincoln Park, Chicago, IL",0.8513
17031720300,"South Side, Chicago, IL",0.8511
18089030700,"East Chicago, IN",0.851
17031822400,"Oak Lawn, IL",0.851
17197881005,"Lockport, IL",0.851
17031760802,"O'Hare, Chicago, IL",0.8509
17031070101,"Lincoln Park, Chicago, IL",0.8509
17031818800,"Brookfield, IL",0.8507
17031630500,"Gage Park, Chicago, IL",0.8507
17031817400,"Maywood, IL",0.8504
17031620400,"South Side, Chicago, IL",0.8504
17031580100,"Brighton Park, Chicago, IL",0.8504
17031241300,"West Town, Chicago, IL",0.8502
17031810301,"Evanston, IL",0.8501
17031823001,"Chicago Ridge, IL",0.8501
17031590600,"McKinley Park, Chicago, IL",0.85
17031822900,"Bridgeview, IL",0.85
17031550100,"South Side, Chicago, IL",0.8499
17031420100,"South Side, Chicago, IL",0.8498
17031825801,"Calumet City, IL",0.8496
17031821600,"Evergreen Park, IL",0.8495
17043840703,"Bensenville, IL",0.8494
17031825900,"Calumet City, IL",0.8493
17031821001,"Burbank, IL",0.8493
17031836200,"Hyde Park, Chicago, IL",0.8493
17031063100,"Lake View East, Chicago, IL",0.8492
17031818200,"Westchester, IL",0.8491
17031808200,"Niles, IL",0.8489
17031720200,"Beverly, Chicago, IL",0.8489
17031081401,"Streeterville, Chicago, IL",0.8487
17031420500,"South Side, Chicago, IL",0.8484
17031100700,"Norwood Park, Chicago, IL",0.8484
17031821700,"Evergreen Park, IL",0.8483
17031110501,"Jefferson Park, Chicago, IL",0.8481
17031824003,"Lemont, IL",0.848
17031817600,"Maywood, IL",0.8478
17031620300,"South Side, Chicago, IL",0.8477
17031805802,"Park Ridge, IL",0.8476
